ccode,year,gender,age,age_group,broad_sector,formality,population
CIV,2015,Female,15,15-24,Services,Informal,10226.0
CIV,2015,Female,15,15-24,Services,Formal,74.0
CIV,2015,Female,16,15-24,Services,Informal,9956.0
CIV,2015,Female,16,15-24,Services,Formal,72.0
CIV,2015,Female,17,15-24,Services,Informal,9638.0
CIV,2015,Female,17,15-24,Services,Formal,70.0
CIV,2015,Female,18,15-24,Services,Informal,9253.0
CIV,2015,Female,18,15-24,Services,Formal,67.0
CIV,2015,Female,19,15-24,Services,Informal,8828.0
CIV,2015,Female,19,15-24,Services,Formal,64.0
CIV,2015,Female,20,15-24,Services,Informal,8408.0
CIV,2015,Female,20,15-24,Services,Formal,61.0
CIV,2015,Female,21,15-24,Services,Informal,7984.0
CIV,2015,Female,21,15-24,Services,Formal,58.0
CIV,2015,Female,22,15-24,Services,Informal,7599.0
CIV,2015,Female,22,15-24,Services,Formal,55.0
CIV,2015,Female,23,15-24,Services,Informal,7279.0
CIV,2015,Female,23,15-24,Services,Formal,53.0
CIV,2015,Female,24,15-24,Services,Informal,7007.0
CIV,2015,Female,24,15-24,Services,Formal,51.0
CIV,2016,Female,15,15-24,Services,Informal,9881.0
CIV,2016,Female,15,15-24,Services,Formal,72.0
CIV,2016,Female,16,15-24,Services,Informal,9642.0
CIV,2016,Female,16,15-24,Services,Formal,71.0
CIV,2016,Female,17,15-24,Services,Informal,9356.0
CIV,2016,Female,17,15-24,Services,Formal,69.0
CIV,2016,Female,18,15-24,Services,Informal,9002.0
CIV,2016,Female,18,15-24,Services,Formal,66.0
CIV,2016,Female,19,15-24,Services,Informal,8606.0
CIV,2016,Female,19,15-24,Services,Formal,63.0
CIV,2016,Female,20,15-24,Services,Informal,8216.0
CIV,2016,Female,20,15-24,Services,Formal,60.0
CIV,2016,Female,21,15-24,Services,Informal,7821.0
CIV,2016,Female,21,15-24,Services,Formal,57.0
CIV,2016,Female,22,15-24,Services,Informal,7458.0
CIV,2016,Female,22,15-24,Services,Formal,55.0
CIV,2016,Female,23,15-24,Services,Informal,7151.0
CIV,2016,Female,23,15-24,Services,Formal,52.0
CIV,2016,Female,24,15-24,Services,Informal,6882.0
CIV,2016,Female,24,15-24,Services,Formal,50.0
CIV,2017,Female,15,15-24,Services,Informal,9807.0
CIV,2017,Female,15,15-24,Services,Formal,462.0
CIV,2017,Female,16,15-24,Services,Informal,9581.0
CIV,2017,Female,16,15-24,Services,Formal,451.0
CIV,2017,Female,17,15-24,Services,Informal,9312.0
CIV,2017,Female,17,15-24,Services,Formal,438.0
CIV,2017,Female,18,15-24,Services,Informal,8979.0
CIV,2017,Female,18,15-24,Services,Formal,423.0
CIV,2017,Female,19,15-24,Services,Informal,8606.0
CIV,2017,Female,19,15-24,Services,Formal,405.0
CIV,2017,Female,20,15-24,Services,Informal,8239.0
CIV,2017,Female,20,15-24,Services,Formal,388.0
CIV,2017,Female,21,15-24,Services,Informal,7870.0
CIV,2017,Female,21,15-24,Services,Formal,371.0
CIV,2017,Female,22,15-24,Services,Informal,7525.0
CIV,2017,Female,22,15-24,Services,Formal,354.0
CIV,2017,Female,23,15-24,Services,Informal,7222.0
CIV,2017,Female,23,15-24,Services,Formal,340.0
CIV,2017,Female,24,15-24,Services,Informal,6950.0
CIV,2017,Female,24,15-24,Services,Formal,327.0
CIV,2018,Female,15,15-24,Services,Informal,10124.0
CIV,2018,Female,15,15-24,Services,Formal,308.0
CIV,2018,Female,16,15-24,Services,Informal,9889.0
CIV,2018,Female,16,15-24,Services,Formal,301.0
CIV,2018,Female,17,15-24,Services,Informal,9618.0
CIV,2018,Female,17,15-24,Services,Formal,293.0
CIV,2018,Female,18,15-24,Services,Informal,9292.0
CIV,2018,Female,18,15-24,Services,Formal,283.0
CIV,2018,Female,19,15-24,Services,Informal,8933.0
CIV,2018,Female,19,15-24,Services,Formal,272.0
CIV,2018,Female,20,15-24,Services,Informal,8579.0
CIV,2018,Female,20,15-24,Services,Formal,261.0
CIV,2018,Female,21,15-24,Services,Informal,8223.0
CIV,2018,Female,21,15-24,Services,Formal,251.0
CIV,2018,Female,22,15-24,Services,Informal,7886.0
CIV,2018,Female,22,15-24,Services,Formal,240.0
CIV,2018,Female,23,15-24,Services,Informal,7579.0
CIV,2018,Female,23,15-24,Services,Formal,231.0
CIV,2018,Female,24,15-24,Services,Informal,7296.0
CIV,2018,Female,24,15-24,Services,Formal,222.0
CIV,2019,Female,15,15-24,Services,Informal,10480.0
CIV,2019,Female,15,15-24,Services,Formal,151.0
CIV,2019,Female,16,15-24,Services,Informal,10224.0
CIV,2019,Female,16,15-24,Services,Formal,147.0
CIV,2019,Female,17,15-24,Services,Informal,9941.0
