ccode,year,gender,age_group,edu_ilo,neet_fc
CIV,2015,Female,15-24,Lower Secondary,0.26543
CIV,2016,Female,15-24,Lower Secondary,0.25159
CIV,2017,Female,15-24,Lower Secondary,0.61005
CIV,2018,Female,15-24,Lower Secondary,0.254465
CIV,2019,Female,15-24,Lower Secondary,0.1438299999999999
CIV,2020,Female,15-24,Lower Secondary,0.29338
CIV,2021,Female,15-24,Lower Secondary,0.27864
CIV,2022,Female,15-24,Lower Secondary,0.16757
CIV,2023,Female,15-24,Lower Secondary,0.25611
CIV,2024,Female,15-24,Lower Secondary,0.193255
CIV,2025,Female,15-24,Lower Secondary,0.193255
CIV,2015,Female,15-24,No Education,0.7103700000000001
CIV,2016,Female,15-24,No Education,0.43849
CIV,2017,Female,15-24,No Education,0.63373
CIV,2018,Female,15-24,No Education,0.54588
CIV,2019,Female,15-24,No Education,0.44101
CIV,2020,Female,15-24,No Education,0.4705749999999999
CIV,2021,Female,15-24,No Education,0.58229
CIV,2022,Female,15-24,No Education,0.38514
CIV,2023,Female,15-24,No Education,0.6724
CIV,2024,Female,15-24,No Education,0.6171
CIV,2025,Female,15-24,No Education,0.6171
CIV,2015,Female,15-24,Primary,0.26543
CIV,2016,Female,15-24,Primary,0.25159
CIV,2017,Female,15-24,Primary,0.61005
CIV,2018,Female,15-24,Primary,0.254465
CIV,2019,Female,15-24,Primary,0.1438299999999999
CIV,2020,Female,15-24,Primary,0.29338
CIV,2021,Female,15-24,Primary,0.27864
CIV,2022,Female,15-24,Primary,0.16757
CIV,2023,Female,15-24,Primary,0.25611
CIV,2024,Female,15-24,Primary,0.193255
CIV,2025,Female,15-24,Primary,0.193255
CIV,2015,Female,15-24,Tertiary,0.32136
CIV,2016,Female,15-24,Tertiary,0.16423
CIV,2017,Female,15-24,Tertiary,0.08945
CIV,2018,Female,15-24,Tertiary,0.288985
CIV,2019,Female,15-24,Tertiary,0.24811
CIV,2020,Female,15-24,Tertiary,0.229325
CIV,2021,Female,15-24,Tertiary,0.35277
CIV,2022,Female,15-24,Tertiary,0.18991
CIV,2023,Female,15-24,Tertiary,0.2953099999999999
CIV,2024,Female,15-24,Tertiary,0.21988
