ccode,year,gender,age,broad_sector,sector21,population
CIV,2015,Female,15,Services,Accommodation and food service activities,10300.0
CIV,2015,Female,16,Services,Accommodation and food service activities,10028.0
CIV,2015,Female,17,Services,Accommodation and food service activities,9708.0
CIV,2015,Female,18,Services,Accommodation and food service activities,9320.0
CIV,2015,Female,19,Services,Accommodation and food service activities,8892.0
CIV,2015,Female,20,Services,Accommodation and food service activities,8469.0
CIV,2015,Female,21,Services,Accommodation and food service activities,8042.0
CIV,2015,Female,22,Services,Accommodation and food service activities,7654.0
CIV,2015,Female,23,Services,Accommodation and food service activities,7332.0
CIV,2015,Female,24,Services,Accommodation and food service activities,7058.0
CIV,2016,Female,15,Services,Accommodation and food service activities,9953.0
CIV,2016,Female,16,Services,Accommodation and food service activities,9713.0
CIV,2016,Female,17,Services,Accommodation and food service activities,9425.0
CIV,2016,Female,18,Services,Accommodation and food service activities,9068.0
CIV,2016,Female,19,Services,Accommodation and food service activities,8669.0
CIV,2016,Female,20,Services,Accommodation and food service activities,8276.0
CIV,2016,Female,21,Services,Accommodation and food service activities,7878.0
CIV,2016,Female,22,Services,Accommodation and food service activities,7513.0
CIV,2016,Female,23,Services,Accommodation and food service activities,7203.0
CIV,2016,Female,24,Services,Accommodation and food service activities,6932.0
CIV,2017,Female,15,Services,Accommodation and food service activities,10269.0
CIV,2017,Female,16,Services,Accommodation and food service activities,10032.0
CIV,2017,Female,17,Services,Accommodation and food service activities,9750.0
CIV,2017,Female,18,Services,Accommodation and food service activities,9402.0
CIV,2017,Female,19,Services,Accommodation and food service activities,9011.0
CIV,2017,Female,20,Services,Accommodation and food service activities,8627.0
CIV,2017,Female,21,Services,Accommodation and food service activities,8241.0
CIV,2017,Female,22,Services,Accommodation and food service activities,7879.0
CIV,2017,Female,23,Services,Accommodation and food service activities,7562.0
CIV,2017,Female,24,Services,Accommodation and food service activities,7277.0
CIV,2018,Female,15,Services,Accommodation and food service activities,10432.0
CIV,2018,Female,16,Services,Accommodation and food service activities,10190.0
CIV,2018,Female,17,Services,Accommodation and food service activities,9911.0
CIV,2018,Female,18,Services,Accommodation and food service activities,9575.0
CIV,2018,Female,19,Services,Accommodation and food service activities,9205.0
CIV,2018,Female,20,Services,Accommodation and food service activities,8840.0
CIV,2018,Female,21,Services,Accommodation and food service activities,8474.0
CIV,2018,Female,22,Services,Accommodation and food service activities,8126.0
CIV,2018,Female,23,Services,Accommodation and food service activities,7810.0
CIV,2018,Female,24,Services,Accommodation and food service activities,7518.0
CIV,2019,Female,15,Services,Accommodation and food service activities,10631.0
CIV,2019,Female,16,Services,Accommodation and food service activities,10371.0
CIV,2019,Female,17,Services,Accommodation and food service activities,10084.0
CIV,2019,Female,18,Services,Accommodation and food service activities,9759.0
CIV,2019,Female,19,Services,Accommodation and food service activities,9410.0
CIV,2019,Female,20,Services,Accommodation and food service activities,9065.0
CIV,2019,Female,21,Services,Accommodation and food service activities,8719.0
CIV,2019,Female,22,Services,Accommodation and food service activities,8385.0
CIV,2019,Female,23,Services,Accommodation and food service activities,8073.0
CIV,2019,Female,24,Services,Accommodation and food service activities,7777.0
CIV,2020,Female,15,Services,Accommodation and food service activities,7954.0
CIV,2020,Female,16,Services,Accommodation and food service activities,7738.0
CIV,2020,Female,17,Services,Accommodation and food service activities,7515.0
CIV,2020,Female,18,Services,Accommodation and food service activities,7281.0
CIV,2020,Female,19,Services,Accommodation and food service activities,7040.0
CIV,2020,Female,20,Services,Accommodation and food service activities,6800.0
CIV,2020,Female,21,Services,Accommodation and food service activities,6559.0
CIV,2020,Female,22,Services,Accommodation and food service activities,6325.0
CIV,2020,Female,23,Services,Accommodation and food service activities,6101.0
CIV,2020,Female,24,Services,Accommodation and food service activities,5886.0
CIV,2021,Female,15,Services,Accommodation and food service activities,6603.0
CIV,2021,Female,16,Services,Accommodation and food service activities,6425.0
CIV,2021,Female,17,Services,Accommodation and food service activities,6243.0
CIV,2021,Female,18,Services,Accommodation and food service activities,6057.0
CIV,2021,Female,19,Services,Accommodation and food service activities,5869.0
CIV,2021,Female,20,Services,Accommodation and food service activities,5680.0
CIV,2021,Female,21,Services,Accommodation and food service activities,5491.0
CIV,2021,Female,22,Services,Accommodation and food service activities,5303.0
CIV,2021,Female,23,Services,Accommodation and food service activities,5116.0
CIV,2021,Female,24,Services,Accommodation and food service activities,4931.0
CIV,2022,Female,15,Services,Accommodation and food service activities,5712.0
CIV,2022,Female,16,Services,Accommodation and food service activities,5560.0
CIV,2022,Female,17,Services,Accommodation and food service activities,5406.0
CIV,2022,Female,18,Services,Accommodation and food service activities,5252.0
CIV,2022,Female,19,Services,Accommodation and food service activities,5097.0
CIV,2022,Female,20,Services,Accommodation and food service activities,4941.0
CIV,2022,Female,21,Services,Accommodation and food service activities,4785.0
CIV,2022,Female,22,Services,Accommodation and food service activities,4627.0
CIV,2022,Female,23,Services,Accommodation and food service activities,4466.0
CIV,2022,Female,24,Services,Accommodation and food service activities,4304.0
CIV,2023,Female,15,Services,Accommodation and food service activities,5180.0
CIV,2023,Female,16,Services,Accommodation and food service activities,5045.0
CIV,2023,Female,17,Services,Accommodation and food service activities,4909.0
CIV,2023,Female,18,Services,Accommodation and food service activities,4775.0
CIV,2023,Female,19,Services,Accommodation and food service activities,4639.0
CIV,2023,Female,20,Services,Accommodation and food service activities,4503.0
CIV,2023,Female,21,Services,Accommodation and food service activities,4367.0
CIV,2023,Female,22,Services,Accommodation and food service activities,4227.0
CIV,2023,Female,23,Services,Accommodation and food service activities,4083.0
CIV,2023,Female,24,Services,Accommodation and food service activities,3936.0
CIV,2024,Female,15,Services,Accommodation and food service activities,5420.0
CIV,2024,Female,16,Services,Accommodation and food service activities,5284.0
CIV,2024,Female,17,Services,Accommodation and food service activities,5147.0
CIV,2024,Female,18,Services,Accommodation and food service activities,5010.0
CIV,2024,Female,19,Services,Accommodation and food service activities,4873.0
CIV,2024,Female,20,Services,Accommodation and food service activities,4734.0
CIV,2024,Female,21,Services,Accommodation and food service activities,4595.0
CIV,2024,Female,22,Services,Accommodation and food service activities,4453.0
CIV,2024,Female,23,Services,Accommodation and food service activities,4305.0
CIV,2024,Female,24,Services,Accommodation and food service activities,4154.0
CIV,2025,Female,15,Services,Accommodation and food service activities,5611.0
CIV,2025,Female,16,Services,Accommodation and food service activities,5475.0
CIV,2025,Female,17,Services,Accommodation and food service activities,5338.0
CIV,2025,Female,18,Services,Accommodation and food service activities,5201.0
CIV,2025,Female,19,Services,Accommodation and food service activities,5062.0
CIV,2025,Female,20,Services,Accommodation and food service activities,4922.0
CIV,2025,Female,21,Services,Accommodation and food service activities,4781.0
CIV,2025,Female,22,Services,Accommodation and food service activities,4636.0
CIV,2025,Female,23,Services,Accommodation and food service activities,4487.0
CIV,2025,Female,24,Services,Accommodation and food service activities,4335.0
CIV,2015,Female,15,Services,Activities of extraterritorial organizations and bodies,62.0
CIV,2015,Female,16,Services,Activities of extraterritorial organizations and bodies,60.0
CIV,2015,Female,17,Services,Activities of extraterritorial organizations and bodies,58.0
CIV,2015,Female,18,Services,Activities of extraterritorial organizations and bodies,56.0
CIV,2015,Female,19,Services,Activities of extraterritorial organizations and bodies,53.0
CIV,2015,Female,20,Services,Activities of extraterritorial organizations and bodies,51.0
CIV,2015,Female,21,Services,Activities of extraterritorial organizations and bodies,48.0
CIV,2015,Female,22,Services,Activities of extraterritorial organizations and bodies,46.0
CIV,2015,Female,23,Services,Activities of extraterritorial organizations and bodies,44.0
CIV,2015,Female,24,Services,Activities of extraterritorial organizations and bodies,42.0
CIV,2016,Female,15,Services,Activities of extraterritorial organizations and bodies,56.0
CIV,2016,Female,16,Services,Activities of extraterritorial organizations and bodies,55.0
CIV,2016,Female,17,Services,Activities of extraterritorial organizations and bodies,53.0
CIV,2016,Female,18,Services,Activities of extraterritorial organizations and bodies,51.0
CIV,2016,Female,19,Services,Activities of extraterritorial organizations and bodies,49.0
CIV,2016,Female,20,Services,Activities of extraterritorial organizations and bodies,46.0
CIV,2016,Female,21,Services,Activities of extraterritorial organizations and bodies,44.0
CIV,2016,Female,22,Services,Activities of extraterritorial organizations and bodies,42.0
CIV,2016,Female,23,Services,Activities of extraterritorial organizations and bodies,40.0
CIV,2016,Female,24,Services,Activities of extraterritorial organizations and bodies,39.0
CIV,2017,Female,15,Services,Activities of extraterritorial organizations and bodies,62.0
CIV,2017,Female,16,Services,Activities of extraterritorial organizations and bodies,60.0
CIV,2017,Female,17,Services,Activities of extraterritorial organizations and bodies,59.0
CIV,2017,Female,18,Services,Activities of extraterritorial organizations and bodies,56.0
CIV,2017,Female,19,Services,Activities of extraterritorial organizations and bodies,54.0
CIV,2017,Female,20,Services,Activities of extraterritorial organizations and bodies,52.0
CIV,2017,Female,21,Services,Activities of extraterritorial organizations and bodies,49.0
CIV,2017,Female,22,Services,Activities of extraterritorial organizations and bodies,47.0
CIV,2017,Female,23,Services,Activities of extraterritorial organizations and bodies,45.0
CIV,2017,Female,24,Services,Activities of extraterritorial organizations and bodies,44.0
CIV,2018,Female,15,Services,Activities of extraterritorial organizations and bodies,64.0
CIV,2018,Female,16,Services,Activities of extraterritorial organizations and bodies,63.0
CIV,2018,Female,17,Services,Activities of extraterritorial organizations and bodies,61.0
CIV,2018,Female,18,Services,Activities of extraterritorial organizations and bodies,59.0
CIV,2018,Female,19,Services,Activities of extraterritorial organizations and bodies,57.0
CIV,2018,Female,20,Services,Activities of extraterritorial organizations and bodies,54.0
CIV,2018,Female,21,Services,Activities of extraterritorial organizations and bodies,52.0
CIV,2018,Female,22,Services,Activities of extraterritorial organizations and bodies,50.0
CIV,2018,Female,23,Services,Activities of extraterritorial organizations and bodies,48.0
CIV,2018,Female,24,Services,Activities of extraterritorial organizations and bodies,46.0
CIV,2019,Female,15,Services,Activities of extraterritorial organizations and bodies,51.0
CIV,2019,Female,16,Services,Activities of extraterritorial organizations and bodies,50.0
CIV,2019,Female,17,Services,Activities of extraterritorial organizations and bodies,48.0
CIV,2019,Female,18,Services,Activities of extraterritorial organizations and bodies,47.0
CIV,2019,Female,19,Services,Activities of extraterritorial organizations and bodies,45.0
CIV,2019,Female,20,Services,Activities of extraterritorial organizations and bodies,43.0
CIV,2019,Female,21,Services,Activities of extraterritorial organizations and bodies,42.0
CIV,2019,Female,22,Services,Activities of extraterritorial organizations and bodies,40.0
CIV,2019,Female,23,Services,Activities of extraterritorial organizations and bodies,39.0
CIV,2019,Female,24,Services,Activities of extraterritorial organizations and bodies,37.0
CIV,2020,Female,15,Services,Activities of extraterritorial organizations and bodies,69.0
CIV,2020,Female,16,Services,Activities of extraterritorial organizations and bodies,68.0
CIV,2020,Female,17,Services,Activities of extraterritorial organizations and bodies,66.0
CIV,2020,Female,18,Services,Activities of extraterritorial organizations and bodies,64.0
CIV,2020,Female,19,Services,Activities of extraterritorial organizations and bodies,61.0
CIV,2020,Female,20,Services,Activities of extraterritorial organizations and bodies,59.0
CIV,2020,Female,21,Services,Activities of extraterritorial organizations and bodies,57.0
CIV,2020,Female,22,Services,Activities of extraterritorial organizations and bodies,55.0
CIV,2020,Female,23,Services,Activities of extraterritorial organizations and bodies,53.0
CIV,2020,Female,24,Services,Activities of extraterritorial organizations and bodies,51.0
CIV,2021,Female,15,Services,Activities of extraterritorial organizations and bodies,83.0
CIV,2021,Female,16,Services,Activities of extraterritorial organizations and bodies,81.0
CIV,2021,Female,17,Services,Activities of extraterritorial organizations and bodies,79.0
CIV,2021,Female,18,Services,Activities of extraterritorial organizations and bodies,77.0
CIV,2021,Female,19,Services,Activities of extraterritorial organizations and bodies,74.0
CIV,2021,Female,20,Services,Activities of extraterritorial organizations and bodies,72.0
CIV,2021,Female,21,Services,Activities of extraterritorial organizations and bodies,69.0
CIV,2021,Female,22,Services,Activities of extraterritorial organizations and bodies,67.0
CIV,2021,Female,23,Services,Activities of extraterritorial organizations and bodies,65.0
CIV,2021,Female,24,Services,Activities of extraterritorial organizations and bodies,62.0
CIV,2022,Female,15,Services,Activities of extraterritorial organizations and bodies,105.0
CIV,2022,Female,16,Services,Activities of extraterritorial organizations and bodies,102.0
CIV,2022,Female,17,Services,Activities of extraterritorial organizations and bodies,99.0
CIV,2022,Female,18,Services,Activities of extraterritorial organizations and bodies,97.0
CIV,2022,Female,19,Services,Activities of extraterritorial organizations and bodies,94.0
CIV,2022,Female,20,Services,Activities of extraterritorial organizations and bodies,91.0
CIV,2022,Female,21,Services,Activities of extraterritorial organizations and bodies,88.0
CIV,2022,Female,22,Services,Activities of extraterritorial organizations and bodies,85.0
CIV,2022,Female,23,Services,Activities of extraterritorial organizations and bodies,82.0
CIV,2022,Female,24,Services,Activities of extraterritorial organizations and bodies,79.0
CIV,2023,Female,15,Services,Activities of extraterritorial organizations and bodies,109.0
CIV,2023,Female,16,Services,Activities of extraterritorial organizations and bodies,106.0
CIV,2023,Female,17,Services,Activities of extraterritorial organizations and bodies,103.0
CIV,2023,Female,18,Services,Activities of extraterritorial organizations and bodies,100.0
CIV,2023,Female,19,Services,Activities of extraterritorial organizations and bodies,97.0
CIV,2023,Female,20,Services,Activities of extraterritorial organizations and bodies,94.0
CIV,2023,Female,21,Services,Activities of extraterritorial organizations and bodies,92.0
CIV,2023,Female,22,Services,Activities of extraterritorial organizations and bodies,89.0
CIV,2023,Female,23,Services,Activities of extraterritorial organizations and bodies,86.0
CIV,2023,Female,24,Services,Activities of extraterritorial organizations and bodies,83.0
CIV,2024,Female,15,Services,Activities of extraterritorial organizations and bodies,92.0
CIV,2024,Female,16,Services,Activities of extraterritorial organizations and bodies,90.0
CIV,2024,Female,17,Services,Activities of extraterritorial organizations and bodies,88.0
CIV,2024,Female,18,Services,Activities of extraterritorial organizations and bodies,85.0
CIV,2024,Female,19,Services,Activities of extraterritorial organizations and bodies,83.0
CIV,2024,Female,20,Services,Activities of extraterritorial organizations and bodies,81.0
CIV,2024,Female,21,Services,Activities of extraterritorial organizations and bodies,78.0
CIV,2024,Female,22,Services,Activities of extraterritorial organizations and bodies,76.0
CIV,2024,Female,23,Services,Activities of extraterritorial organizations and bodies,73.0
CIV,2024,Female,24,Services,Activities of extraterritorial organizations and bodies,71.0
CIV,2025,Female,15,Services,Activities of extraterritorial organizations and bodies,95.0
CIV,2025,Female,16,Services,Activities of extraterritorial organizations and bodies,93.0
CIV,2025,Female,17,Services,Activities of extraterritorial organizations and bodies,90.0
CIV,2025,Female,18,Services,Activities of extraterritorial organizations and bodies,88.0
CIV,2025,Female,19,Services,Activities of extraterritorial organizations and bodies,86.0
CIV,2025,Female,20,Services,Activities of extraterritorial organizations and bodies,83.0
CIV,2025,Female,21,Services,Activities of extraterritorial organizations and bodies,81.0
CIV,2025,Female,22,Services,Activities of extraterritorial organizations and bodies,79.0
CIV,2025,Female,23,Services,Activities of extraterritorial organizations and bodies,76.0
CIV,2025,Female,24,Services,Activities of extraterritorial organizations and bodies,73.0
CIV,2015,Female,15,Services,Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,6003.0
CIV,2015,Female,16,Services,Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,5844.0
CIV,2015,Female,17,Services,Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,5658.0
