ccode,year,gender,age,broad_sector,sector21,geo,population
CIV,2015,female,15,Services,Accommodation and food service activities,rural,2771.0
CIV,2015,female,15,Services,Accommodation and food service activities,urban,7529.0
CIV,2015,female,16,Services,Accommodation and food service activities,rural,2698.0
CIV,2015,female,16,Services,Accommodation and food service activities,urban,7330.0
CIV,2015,female,17,Services,Accommodation and food service activities,rural,2612.0
CIV,2015,female,17,Services,Accommodation and food service activities,urban,7096.0
CIV,2015,female,18,Services,Accommodation and food service activities,rural,2507.0
CIV,2015,female,18,Services,Accommodation and food service activities,urban,6813.0
CIV,2015,female,19,Services,Accommodation and food service activities,rural,2392.0
CIV,2015,female,19,Services,Accommodation and food service activities,urban,6500.0
CIV,2015,female,20,Services,Accommodation and food service activities,rural,2278.0
CIV,2015,female,20,Services,Accommodation and food service activities,urban,6191.0
CIV,2015,female,21,Services,Accommodation and food service activities,rural,2164.0
CIV,2015,female,21,Services,Accommodation and food service activities,urban,5878.0
CIV,2015,female,22,Services,Accommodation and food service activities,rural,2059.0
CIV,2015,female,22,Services,Accommodation and food service activities,urban,5595.0
CIV,2015,female,23,Services,Accommodation and food service activities,rural,1973.0
CIV,2015,female,23,Services,Accommodation and food service activities,urban,5359.0
CIV,2015,female,24,Services,Accommodation and food service activities,rural,1899.0
CIV,2015,female,24,Services,Accommodation and food service activities,urban,5159.0
CIV,2016,female,15,Services,Accommodation and food service activities,rural,2722.0
CIV,2016,female,15,Services,Accommodation and food service activities,urban,7231.0
CIV,2016,female,16,Services,Accommodation and food service activities,rural,2657.0
CIV,2016,female,16,Services,Accommodation and food service activities,urban,7056.0
CIV,2016,female,17,Services,Accommodation and food service activities,rural,2578.0
CIV,2016,female,17,Services,Accommodation and food service activities,urban,6847.0
CIV,2016,female,18,Services,Accommodation and food service activities,rural,2480.0
CIV,2016,female,18,Services,Accommodation and food service activities,urban,6588.0
CIV,2016,female,19,Services,Accommodation and food service activities,rural,2371.0
CIV,2016,female,19,Services,Accommodation and food service activities,urban,6298.0
CIV,2016,female,20,Services,Accommodation and food service activities,rural,2264.0
CIV,2016,female,20,Services,Accommodation and food service activities,urban,6012.0
CIV,2016,female,21,Services,Accommodation and food service activities,rural,2155.0
CIV,2016,female,21,Services,Accommodation and food service activities,urban,5723.0
CIV,2016,female,22,Services,Accommodation and food service activities,rural,2055.0
CIV,2016,female,22,Services,Accommodation and food service activities,urban,5458.0
CIV,2016,female,23,Services,Accommodation and food service activities,rural,1970.0
CIV,2016,female,23,Services,Accommodation and food service activities,urban,5233.0
CIV,2016,female,24,Services,Accommodation and food service activities,rural,1896.0
CIV,2016,female,24,Services,Accommodation and food service activities,urban,5036.0
CIV,2017,female,15,Services,Accommodation and food service activities,rural,2847.0
CIV,2017,female,15,Services,Accommodation and food service activities,urban,7422.0
CIV,2017,female,16,Services,Accommodation and food service activities,rural,2781.0
CIV,2017,female,16,Services,Accommodation and food service activities,urban,7251.0
CIV,2017,female,17,Services,Accommodation and food service activities,rural,2703.0
CIV,2017,female,17,Services,Accommodation and food service activities,urban,7047.0
CIV,2017,female,18,Services,Accommodation and food service activities,rural,2606.0
CIV,2017,female,18,Services,Accommodation and food service activities,urban,6796.0
CIV,2017,female,19,Services,Accommodation and food service activities,rural,2498.0
CIV,2017,female,19,Services,Accommodation and food service activities,urban,6513.0
CIV,2017,female,20,Services,Accommodation and food service activities,rural,2391.0
CIV,2017,female,20,Services,Accommodation and food service activities,urban,6236.0
CIV,2017,female,21,Services,Accommodation and food service activities,rural,2284.0
CIV,2017,female,21,Services,Accommodation and food service activities,urban,5957.0
CIV,2017,female,22,Services,Accommodation and food service activities,rural,2184.0
CIV,2017,female,22,Services,Accommodation and food service activities,urban,5695.0
CIV,2017,female,23,Services,Accommodation and food service activities,rural,2096.0
CIV,2017,female,23,Services,Accommodation and food service activities,urban,5466.0
CIV,2017,female,24,Services,Accommodation and food service activities,rural,2017.0
CIV,2017,female,24,Services,Accommodation and food service activities,urban,5260.0
CIV,2018,female,15,Services,Accommodation and food service activities,rural,3600.0
CIV,2018,female,15,Services,Accommodation and food service activities,urban,6832.0
CIV,2018,female,16,Services,Accommodation and food service activities,rural,3517.0
CIV,2018,female,16,Services,Accommodation and food service activities,urban,6673.0
CIV,2018,female,17,Services,Accommodation and food service activities,rural,3420.0
CIV,2018,female,17,Services,Accommodation and food service activities,urban,6491.0
CIV,2018,female,18,Services,Accommodation and food service activities,rural,3304.0
CIV,2018,female,18,Services,Accommodation and food service activities,urban,6271.0
CIV,2018,female,19,Services,Accommodation and food service activities,rural,3177.0
CIV,2018,female,19,Services,Accommodation and food service activities,urban,6028.0
CIV,2018,female,20,Services,Accommodation and food service activities,rural,3051.0
CIV,2018,female,20,Services,Accommodation and food service activities,urban,5789.0
CIV,2018,female,21,Services,Accommodation and food service activities,rural,2924.0
CIV,2018,female,21,Services,Accommodation and food service activities,urban,5550.0
CIV,2018,female,22,Services,Accommodation and food service activities,rural,2804.0
CIV,2018,female,22,Services,Accommodation and food service activities,urban,5322.0
CIV,2018,female,23,Services,Accommodation and food service activities,rural,2695.0
CIV,2018,female,23,Services,Accommodation and food service activities,urban,5115.0
CIV,2018,female,24,Services,Accommodation and food service activities,rural,2594.0
CIV,2018,female,24,Services,Accommodation and food service activities,urban,4924.0
CIV,2019,female,15,Services,Accommodation and food service activities,rural,4390.0
CIV,2019,female,15,Services,Accommodation and food service activities,urban,6241.0
CIV,2019,female,16,Services,Accommodation and food service activities,rural,4283.0
CIV,2019,female,16,Services,Accommodation and food service activities,urban,6088.0
CIV,2019,female,17,Services,Accommodation and food service activities,rural,4165.0
CIV,2019,female,17,Services,Accommodation and food service activities,urban,5919.0
CIV,2019,female,18,Services,Accommodation and food service activities,rural,4030.0
CIV,2019,female,18,Services,Accommodation and food service activities,urban,5729.0
CIV,2019,female,19,Services,Accommodation and food service activities,rural,3886.0
CIV,2019,female,19,Services,Accommodation and food service activities,urban,5524.0
CIV,2019,female,20,Services,Accommodation and food service activities,rural,3744.0
CIV,2019,female,20,Services,Accommodation and food service activities,urban,5321.0
CIV,2019,female,21,Services,Accommodation and food service activities,rural,3601.0
CIV,2019,female,21,Services,Accommodation and food service activities,urban,5118.0
CIV,2019,female,22,Services,Accommodation and food service activities,rural,3463.0
CIV,2019,female,22,Services,Accommodation and food service activities,urban,4922.0
CIV,2019,female,23,Services,Accommodation and food service activities,rural,3334.0
CIV,2019,female,23,Services,Accommodation and food service activities,urban,4739.0
CIV,2019,female,24,Services,Accommodation and food service activities,rural,3212.0
CIV,2019,female,24,Services,Accommodation and food service activities,urban,4565.0
CIV,2020,female,15,Services,Accommodation and food service activities,rural,2724.0
CIV,2020,female,15,Services,Accommodation and food service activities,urban,5230.0
CIV,2020,female,16,Services,Accommodation and food service activities,rural,2650.0
CIV,2020,female,16,Services,Accommodation and food service activities,urban,5088.0
CIV,2020,female,17,Services,Accommodation and food service activities,rural,2574.0
CIV,2020,female,17,Services,Accommodation and food service activities,urban,4941.0
CIV,2020,female,18,Services,Accommodation and food service activities,rural,2494.0
CIV,2020,female,18,Services,Accommodation and food service activities,urban,4787.0
CIV,2020,female,19,Services,Accommodation and food service activities,rural,2411.0
CIV,2020,female,19,Services,Accommodation and food service activities,urban,4629.0
CIV,2020,female,20,Services,Accommodation and food service activities,rural,2329.0
CIV,2020,female,20,Services,Accommodation and food service activities,urban,4471.0
CIV,2020,female,21,Services,Accommodation and food service activities,rural,2247.0
CIV,2020,female,21,Services,Accommodation and food service activities,urban,4312.0
CIV,2020,female,22,Services,Accommodation and food service activities,rural,2166.0
CIV,2020,female,22,Services,Accommodation and food service activities,urban,4159.0
CIV,2020,female,23,Services,Accommodation and food service activities,rural,2090.0
CIV,2020,female,23,Services,Accommodation and food service activities,urban,4011.0
CIV,2020,female,24,Services,Accommodation and food service activities,rural,2016.0
CIV,2020,female,24,Services,Accommodation and food service activities,urban,3870.0
CIV,2021,female,15,Services,Accommodation and food service activities,rural,1796.0
CIV,2021,female,15,Services,Accommodation and food service activities,urban,4807.0
CIV,2021,female,16,Services,Accommodation and food service activities,rural,1748.0
CIV,2021,female,16,Services,Accommodation and food service activities,urban,4677.0
CIV,2021,female,17,Services,Accommodation and food service activities,rural,1698.0
CIV,2021,female,17,Services,Accommodation and food service activities,urban,4545.0
CIV,2021,female,18,Services,Accommodation and food service activities,rural,1648.0
CIV,2021,female,18,Services,Accommodation and food service activities,urban,4409.0
CIV,2021,female,19,Services,Accommodation and food service activities,rural,1597.0
CIV,2021,female,19,Services,Accommodation and food service activities,urban,4272.0
CIV,2021,female,20,Services,Accommodation and food service activities,rural,1545.0
CIV,2021,female,20,Services,Accommodation and food service activities,urban,4135.0
CIV,2021,female,21,Services,Accommodation and food service activities,rural,1494.0
CIV,2021,female,21,Services,Accommodation and food service activities,urban,3997.0
CIV,2021,female,22,Services,Accommodation and food service activities,rural,1443.0
CIV,2021,female,22,Services,Accommodation and food service activities,urban,3860.0
CIV,2021,female,23,Services,Accommodation and food service activities,rural,1392.0
CIV,2021,female,23,Services,Accommodation and food service activities,urban,3724.0
CIV,2021,female,24,Services,Accommodation and food service activities,rural,1341.0
CIV,2021,female,24,Services,Accommodation and food service activities,urban,3590.0
CIV,2022,female,15,Services,Accommodation and food service activities,rural,1151.0
CIV,2022,female,15,Services,Accommodation and food service activities,urban,4561.0
CIV,2022,female,16,Services,Accommodation and food service activities,rural,1121.0
CIV,2022,female,16,Services,Accommodation and food service activities,urban,4439.0
CIV,2022,female,17,Services,Accommodation and food service activities,rural,1090.0
CIV,2022,female,17,Services,Accommodation and food service activities,urban,4316.0
CIV,2022,female,18,Services,Accommodation and food service activities,rural,1059.0
CIV,2022,female,18,Services,Accommodation and food service activities,urban,4193.0
CIV,2022,female,19,Services,Accommodation and food service activities,rural,1027.0
CIV,2022,female,19,Services,Accommodation and food service activities,urban,4070.0
CIV,2022,female,20,Services,Accommodation and food service activities,rural,996.0
CIV,2022,female,20,Services,Accommodation and food service activities,urban,3945.0
CIV,2022,female,21,Services,Accommodation and food service activities,rural,965.0
CIV,2022,female,21,Services,Accommodation and food service activities,urban,3820.0
CIV,2022,female,22,Services,Accommodation and food service activities,rural,933.0
CIV,2022,female,22,Services,Accommodation and food service activities,urban,3694.0
