ccode,year,age,gender,education,status,population
CIV,2015,15,female,primary,employed,49648.0
CIV,2015,15,female,less than primary,employed,34521.0
CIV,2015,15,female,lower secondary,employed,24935.0
CIV,2015,15,female,upper secondary,employed,7766.0
CIV,2015,15,female,tertiary,employed,1880.0
CIV,2015,15,female,less than primary,inactive,17696.0
CIV,2015,15,female,primary,inactive,26865.0
CIV,2015,15,female,lower secondary,inactive,28528.0
CIV,2015,15,female,upper secondary,inactive,17415.0
CIV,2015,15,female,tertiary,inactive,2551.0
CIV,2015,15,female,primary,student,18301.0
CIV,2015,15,female,upper secondary,student,11636.0
CIV,2015,15,female,lower secondary,student,29250.0
CIV,2015,15,female,tertiary,student,3234.0
CIV,2015,15,female,less than primary,student,0.0
CIV,2015,15,female,tertiary,unemployed,885.0
CIV,2015,15,female,primary,unemployed,1116.0
CIV,2015,15,female,upper secondary,unemployed,1337.0
CIV,2015,15,female,less than primary,unemployed,278.0
CIV,2015,15,female,lower secondary,unemployed,1846.0
CIV,2015,15,male,primary,employed,53820.0
CIV,2015,15,male,upper secondary,employed,17940.0
CIV,2015,15,male,lower secondary,employed,37860.0
CIV,2015,15,male,less than primary,employed,37183.0
CIV,2015,15,male,tertiary,employed,3472.0
CIV,2015,15,male,upper secondary,inactive,7975.0
CIV,2015,15,male,tertiary,inactive,1667.0
CIV,2015,15,male,primary,inactive,12274.0
CIV,2015,15,male,lower secondary,inactive,11698.0
CIV,2015,15,male,less than primary,inactive,4786.0
CIV,2015,15,male,less than primary,student,0.0
CIV,2015,15,male,primary,student,29049.0
CIV,2015,15,male,upper secondary,student,24401.0
CIV,2015,15,male,tertiary,student,6415.0
CIV,2015,15,male,lower secondary,student,38321.0
CIV,2015,15,male,upper secondary,unemployed,1245.0
CIV,2015,15,male,less than primary,unemployed,356.0
CIV,2015,15,male,lower secondary,unemployed,935.0
CIV,2015,15,male,primary,unemployed,494.0
CIV,2015,15,male,tertiary,unemployed,877.0
CIV,2015,16,female,tertiary,employed,1830.0
CIV,2015,16,female,lower secondary,employed,24275.0
CIV,2015,16,female,less than primary,employed,33608.0
CIV,2015,16,female,primary,employed,48335.0
CIV,2015,16,female,upper secondary,employed,7561.0
CIV,2015,16,female,upper secondary,inactive,16954.0
CIV,2015,16,female,less than primary,inactive,17227.0
CIV,2015,16,female,primary,inactive,26153.0
CIV,2015,16,female,tertiary,inactive,2485.0
CIV,2015,16,female,lower secondary,inactive,27774.0
CIV,2015,16,female,upper secondary,student,11328.0
CIV,2015,16,female,lower secondary,student,28475.0
CIV,2015,16,female,tertiary,student,3149.0
CIV,2015,16,female,less than primary,student,0.0
CIV,2015,16,female,primary,student,17816.0
CIV,2015,16,female,less than primary,unemployed,271.0
CIV,2015,16,female,upper secondary,unemployed,1302.0
CIV,2015,16,female,tertiary,unemployed,861.0
CIV,2015,16,female,primary,unemployed,1086.0
CIV,2015,16,female,lower secondary,unemployed,1797.0
CIV,2015,16,male,upper secondary,employed,17545.0
CIV,2015,16,male,primary,employed,52637.0
CIV,2015,16,male,lower secondary,employed,37028.0
CIV,2015,16,male,tertiary,employed,3396.0
CIV,2015,16,male,less than primary,employed,36365.0
CIV,2015,16,male,upper secondary,inactive,7800.0
CIV,2015,16,male,less than primary,inactive,4680.0
CIV,2015,16,male,lower secondary,inactive,11441.0
CIV,2015,16,male,primary,inactive,12004.0
CIV,2015,16,male,tertiary,inactive,1630.0
CIV,2015,16,male,upper secondary,student,23864.0
CIV,2015,16,male,tertiary,student,6274.0
CIV,2015,16,male,lower secondary,student,37478.0
CIV,2015,16,male,less than primary,student,0.0
CIV,2015,16,male,primary,student,28410.0
CIV,2015,16,male,tertiary,unemployed,857.0
CIV,2015,16,male,less than primary,unemployed,348.0
CIV,2015,16,male,primary,unemployed,483.0
CIV,2015,16,male,upper secondary,unemployed,1218.0
CIV,2015,16,male,lower secondary,unemployed,915.0
CIV,2015,17,female,lower secondary,employed,23499.0
CIV,2015,17,female,less than primary,employed,32535.0
CIV,2015,17,female,tertiary,employed,1772.0
CIV,2015,17,female,primary,employed,46792.0
CIV,2015,17,female,upper secondary,employed,7320.0
CIV,2015,17,female,primary,inactive,25319.0
CIV,2015,17,female,less than primary,inactive,16678.0
CIV,2015,17,female,upper secondary,inactive,16412.0
