ccode,year,edu_ilo,age_group,gender,share_unemp,share_inact
CIV,2015,Less than primary,15-24,female,0.0225166666666666,0.4082833333333333
CIV,2016,Less than primary,15-24,female,0.01074,0.45494
CIV,2017,Less than primary,15-24,female,0.03362,0.62255
CIV,2018,Less than primary,15-24,female,0.03285,0.5476300000000001
CIV,2019,Less than primary,15-24,female,0.03208,0.47271
CIV,2020,Less than primary,15-24,female,0.0277766666666666,0.4727033333333333
CIV,2021,Less than primary,15-24,female,0.0234733333333333,0.4726966666666666
CIV,2022,Less than primary,15-24,female,0.01917,0.47269
CIV,2023,Less than primary,15-24,female,0.01917,0.47269
CIV,2024,Less than primary,15-24,female,0.01917,0.47269
CIV,2025,Less than primary,15-24,female,0.01917,0.47269
CIV,2015,Less than primary,15-24,male,0.02309,0.2194233333333333
CIV,2016,Less than primary,15-24,male,0.017075,0.22674
CIV,2017,Less than primary,15-24,male,0.01106,0.41922
CIV,2018,Less than primary,15-24,male,0.0157525,0.34391
CIV,2019,Less than primary,15-24,male,0.0204449999999999,0.2686
CIV,2020,Less than primary,15-24,male,0.02044,0.3019066666666666
CIV,2021,Less than primary,15-24,male,0.020435,0.3352133333333333
CIV,2022,Less than primary,15-24,male,0.02043,0.3685199999999999
CIV,2023,Less than primary,15-24,male,0.02043,0.3685199999999999
CIV,2024,Less than primary,15-24,male,0.02043,0.3685199999999999
CIV,2025,Less than primary,15-24,male,0.02043,0.3685199999999999
CIV,2015,Less than primary,25-54,female,0.0147333333333333,0.2573366666666666
CIV,2016,Less than primary,25-54,female,0.00912,0.29818
CIV,2017,Less than primary,25-54,female,0.0126699999999999,0.45004
CIV,2018,Less than primary,25-54,female,0.0127599999999999,0.38356
CIV,2019,Less than primary,25-54,female,0.0128499999999999,0.31708
CIV,2020,Less than primary,25-54,female,0.0116033333333333,0.290925
CIV,2021,Less than primary,25-54,female,0.0103566666666666,0.26477
CIV,2022,Less than primary,25-54,female,0.00911,0.238615
CIV,2023,Less than primary,25-54,female,0.00911,0.238615
CIV,2024,Less than primary,25-54,female,0.00911,0.238615
CIV,2025,Less than primary,25-54,female,0.00911,0.238615
CIV,2015,Less than primary,25-54,male,0.0124366666666666,0.0877633333333333
CIV,2016,Less than primary,25-54,male,0.00919,0.11662
CIV,2017,Less than primary,25-54,male,0.01198,0.15037
CIV,2018,Less than primary,25-54,male,0.011695,0.136315
CIV,2019,Less than primary,25-54,male,0.01141,0.12226
CIV,2020,Less than primary,25-54,male,0.0105916666666666,0.09183
CIV,2021,Less than primary,25-54,male,0.0097733333333333,0.0614
CIV,2022,Less than primary,25-54,male,0.008955,0.0309699999999999
CIV,2023,Less than primary,25-54,male,0.008955,0.0309699999999999
CIV,2024,Less than primary,25-54,male,0.008955,0.0309699999999999
CIV,2025,Less than primary,25-54,male,0.008955,0.0309699999999999
CIV,2015,Less than primary,55-64,female,0.04027,0.3593
CIV,2016,Less than primary,55-64,female,0.04473,0.40108
CIV,2017,Less than primary,55-64,female,0.0332166666666666,0.5354399999999999
CIV,2018,Less than primary,55-64,female,0.03034,0.501605
CIV,2019,Less than primary,55-64,female,0.0298,0.46777
CIV,2020,Less than primary,55-64,female,0.0298,0.4237933333333333
CIV,2021,Less than primary,55-64,female,0.02683,0.3798166666666667
CIV,2022,Less than primary,55-64,female,0.02683,0.33584
CIV,2023,Less than primary,55-64,female,0.0298,0.33584
CIV,2024,Less than primary,55-64,female,0.0298,0.33584
CIV,2025,Less than primary,55-64,female,0.0298,0.33584
CIV,2015,Less than primary,55-64,male,0.019345,0.1537533333333333
CIV,2016,Less than primary,55-64,male,0.019345,0.19922
CIV,2017,Less than primary,55-64,male,0.019345,0.23971
CIV,2018,Less than primary,55-64,male,0.019345,0.246415
CIV,2019,Less than primary,55-64,male,0.019345,0.25312
CIV,2020,Less than primary,55-64,male,0.019345,0.1933933333333333
CIV,2021,Less than primary,55-64,male,0.019345,0.1336666666666666
CIV,2022,Less than primary,55-64,male,0.019345,0.07394
